"Measure_code","Topic","Measure","Chart_title","Measure_short","Polarity","y_axis_name","state_funded_flag","Table_status","Description","Last Update","Next Update","Data Owner (DO) /Supplier and Contact Details","Methodology","Hyperlink(s)","dps","Year_Type","No_Quartile"
"4","Health and Wellbeing","Infant Mortality","Infant Mortality rate per 1000 live births","InfMort","Low","Rate per 1000 live births",NA,"None standard - manual process","This data describes the infant mortality rate per 1,000 live births, and forms part of the Health Statistics Quarterly publication from the ONS.","45809","46174","ONS","Infant deaths (under 1 year) at various ages are defined as:

- early neonatal - deaths under seven days
- perinatal - stillbirths and early neonatal deaths
- neonatal - deaths under 28 days
- postneonatal - deaths between 28 days and one year

Linked data refer to infant death records that have been successfully matched to their corresponding birth record; see the annual publications Child and infant mortality statistics, Infant mortality (birth cohort) tables and Unexplained deaths in infancy for further details.
Quality and Methodology Information can be found here: https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/childmortalitystatisticsqmi","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/datasets/childmortalitystatisticschildhoodinfantandperinatalchildhoodinfantandperinatalmortalityinenglandandwales",NA,"Calendar Year",NA
"352","Health and Wellbeing","Low birth weight","Low birth weight full term live births as a percentage of all full term live births","Low_Birth_Weight_Babies","Low","% of births",NA,"None standard - manual process","Live births with a recorded birth weight under 2500g and a gestational age of at least 37 complete weeks as a percentage of all live births with recorded birth weight and a gestational age of at least 37 complete weeks.","45597","45870","Public Health England","Low birth weight full term live births as a percentage of all full term live births. Births without a recorded birth weight are excluded.

ONS has linked birth registrations with NHS birth notification records to allow reporting by gestational age and birth weight. With 99.4% of records linked successfully, completeness of this dataset is very good. However, not all births are recorded with a valid birth weight and gestational age. There may be regional variations in the completeness of these fields.

Where data has been suppressed for a Local Authority, the next lowest LA has also been suppressed. Where disclosure through differentiation would have been possible the higher geographies have also been suppressed.

Go to original source to view confidence intervals.","https://fingertips.phe.org.uk/profile/child-health-profiles/data?redirectHash=gid/193813322#page/3/gid/1938133222/pat/6/par/E12000004/ati/302/are/E06000015/iid/20101/age/235/sex/4/cid/4/tbm/1/page-options/car-do-0_car-ao-1",2,"Calendar Year",NA
"210","Health and Wellbeing","Assessed Child Deaths - modifiable factors","Number of child death reviews completed on behalf of the LSCB which were assessed as having modifiable factors","PreChildDea","-","% of deaths",NA,"Discontinued","These data refer to child death reviews completed and the decisions made by Child Death Overview Panels (CDOPs) on behalf of their CDR Partners in England. The data presented relates to child death reviews completed within the year which were identified as having modifiable factors.","44501","No longer published at Local Authority level","NCMD","See NCMD website","https://www.ncmd.info/publications/",NA,"Financial Year",NA
"2","Health and Wellbeing","Under 18 Conception rates","Under 18 conception rates (15-17 yr olds)","Under18concep","Low","Rate per 1000 15 - 17 year olds",NA,"None standard - manual process","Conception Statistics are produced by the Office for National Statistics (ONS).  

Conception statistics bring together records of birth registrations collected under the Births and Deaths Registration Act 1953 and of abortion notifications supplied under the Abortion Act 1967.

They include all the pregnancies of women resident in England and Wales that lead to one of the following outcomes:

- a maternity at which one or more live births or stillbirths occur, which is registered in England and Wales
- a termination of a pregnancy by abortion under the 1967 Act, which takes place in England and Wales; pregnancies that lead to miscarriages are not included

Conceptions in 2021 may result in maternities or abortions in 2021 or 2022. Maternities that result in one or more live births or stillbirths are counted once only. Conception statistics do not include miscarriages or illegal abortions.","45839","46204","ONS","Conception rates are calculated by dividing the number of conceptions to women in an age group by the female population in the same age group.

End of Q4 - rolling average","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/conceptionandfertilityrates/datasets/conceptionstatisticsenglandandwalesreferencetables",NA,"Calendar Year",NA
"122","Health and Wellbeing","Prevalence of breastfeeding","Prevalence of breastfeeding at 6-8 weeks (%)","6wksBreast","High","% infants breastfeeding",NA,"None standard - manual process","This indicator was judged to be a valid and an important measure of public health and was therefore included in the public health outcomes framework. Inclusion of these indicators will encourage the continued prioritisation of breastfeeding support locally. Increases in breastfeeding are expected to reduce illness in young children, have health benefits for the infant and the mother and result in cost savings to the NHS through reduced hospital admission for the treatment of infection in infants (Quigley et al 2007.) Breast milk provides the ideal nutrition for infants in the first stages of life. There is evidence that babies who are breast fed experience lower levels of gastro-intestinal and respiratory infection. Observational studies have shown that breastfeeding is associated with lower levels of child obesity. Mothers who do not breastfeed have an increased risk of breast and ovarian cancers and may find it more difficult to return to their pre-pregnancy weight (World Cancer Research Fund; DH, cited in NICE Public health guidance PH11 https://www.nice.org.uk/guidance/ph11/chapter/2-public-health-need-and-practice). Current national and international guidance recommends exclusive breastfeeding for newborns and for the first six months of infancy. http://www.who.int/nutrition/topics/infantfeeding_recommendation/en/index.html  http://www.nice.org.uk/nicemedia/live/11943/40097/40097.pdf Increasing rates of breastfeeding initiation and continuation is also recommended within the DH Healthy Child Programme Breastfeeding initiation and uptake at 6-8 weeks are included in the NICE proposals for the Commissioning Outcomes Framework The longer-term strategic solution for data collection and reporting for this indicator is NHS England's Community Services Dataset (formerly the Children and Young Peoples (CYPHS) data set). It is mandatory for the providers of public funded services to submit the dataset to NHS England. Whilst the data set is operational and reporting has begun, providers are at different stages of maturity with their submissions or readiness to flow the data therefore it is expected to take some additional time for this data set to reach sufficient coverage for reporting purposes.
","45778","46143","Office for Health Improvement and Disparities (formerly Public Health England)","This is the percentage of infants that are totally or partially breastfed at age 6 to 8 weeks. Totally breastfed is defined as infants who are exclusively receiving breast milk at 6 to 8 weeks of age - that is, they are not receiving formula milk, any other liquids or food. Partially breastfed is defined as infants who are currently receiving breast milk at 6 to 8 weeks of age and who are also receiving formula milk or any other liquids or food. Not at all breastfed is defined as infants who are not currently receiving any breast milk at 6 to 8 weeks of age. The numerator is the count of the number of infants recorded as being totally breastfed at 6 to 8 weeks and the number of infants recorded as being partially breastfed. The denominator is the total number of infants due a 6 to 8 weeks check. 

Methodology: Crude percentage: numerator is divided by denominator and then multiplied by 100.
A process of estimation was applied to any local authority data where a return was submitted for only 3 quarters, or DK was submitted for any data item. An estimated numerator for the missing quarter was calculated as an average of the numerators of the other 3 quarters, and the same for an estimated denominator. Where a numerator or denominator has been submitted as 0, no estimation has been performed. An annual numerator and denominator have been calculated based on the estimated numerator and denominator and the known numerators and denominators.

Go to original source to view confidence intervals.","https://fingertips.phe.org.uk/search/breastfeeding#page/3/gid/1/pat/15/par/E92000001/ati/502/are/E09000002/iid/92517/age/170/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1/page-options/car-do-0",2,"Financial Year",NA
"119","Health and Wellbeing","Children in year 6 who are overweight or obese","Children in year 6 who are overweight or obese (%)","ExcessYr6","Low","% children with excess weight",NA,"None standard - manual process","The National Child Measurement Programme (NCMP) was introduced in 2005/06 and collects height and weight measurements of children in reception (aged 4–5 years) and year 6 (aged 10–11 years) in mainstream state-maintained schools in England. Local Authorities are mandated to collect data from these schools. Collection of data from special schools (schools for pupils with special educational needs and pupil referral units) and independent schools is encouraged but data collected from these schools is excluded from the national report.

The findings are used to inform local planning and delivery of services for children and gather population-level surveillance data to allow analysis of trends in excess weight. The programme also seeks to raise awareness of the importance of healthy weight in children. The NCMP is part of the government's strategy to tackle the continuing rise in excess weight.  When interpreting the results, it is important to consider the possible effects of participation rate on prevalence rates.","45597","45962","NHS","Measurement of children's heights and weights, without shoes and coats and in normal, light, indoor clothing, was overseen by healthcare professionals and undertaken in school by trained staff. PCT staff entered these data into specially designed spreadsheets: the NCMP data-capture tool. Measurements could be taken at any time during the academic year. Consequently, some children were almost two years older than others in the same school year at the point of measurement. Prevalence rates were calculated by deriving every child’s BMI and referencing the age and sex-specific UK National BMI percentiles classification to count the number of children defined as overweight or obese. The results are derived from the postcode of the school.","https://digital.nhs.uk/data-and-information/publications/statistical/national-child-measurement-programme",2,"Academic Year",NA
"120","Health and Wellbeing","Children in  reception year who are overweight or obese","Children in  reception year who are overweight or obese (%)","ExcessRec","Low","% children with excess weight",NA,"None standard - manual process","The National Child Measurement Programme (NCMP) was introduced in 2005/06 and collects height and weight measurements of children in reception (aged 4–5 years) and year 6 (aged 10–11 years) in mainstream state-maintained schools in England. Local Authorities are mandated to collect data from these schools. Collection of data from special schools (schools for pupils with special educational needs and pupil referral units) and independent schools is encouraged but data collected from these schools is excluded from the national report.

The findings are used to inform local planning and delivery of services for children and gather population-level surveillance data to allow analysis of trends in excess weight. The programme also seeks to raise awareness of the importance of healthy weight in children. The NCMP is part of the government's strategy to tackle the continuing rise in excess weight.  When interpreting the results, it is important to consider the possible effects of participation rate on prevalence rates.","45597","45962","NHS","Measurement of children's heights and weights, without shoes and coats and in normal, light, indoor clothing, was overseen by healthcare professionals and undertaken in school by trained staff. PCT staff entered these data into specially designed spreadsheets: the NCMP data-capture tool. Measurements could be taken at any time during the academic year. Consequently, some children were almost two years older than others in the same school year at the point of measurement. Prevalence rates were calculated by deriving every child’s BMI and referencing the age and sex-specific UK National BMI percentiles classification to count the number of children defined as overweight or obese. The results are derived from the postcode of the school.","https://digital.nhs.uk/data-and-information/publications/statistical/national-child-measurement-programme",2,"Academic Year",NA
"138","Health and Wellbeing","Emergency Hospital Admissions 0-14yr olds","Emergency Hospital admissions caused by unintentional and deliberate injuries to children (0-14 yr olds)- rate","HospAd0-14","Low","Rate per 10,000",NA,"None standard - manual process","Injuries are a leading cause of hospitalisation and represent a major cause of premature mortality for children and young people. They are also a source of long term health issues, including mental health related to experience(s).

Crude rate of hospital admissions caused by unintentional and deliberate injuries in children aged under 15 years per 10,000 resident population aged under 15 years.","45689","46054","Office for Health Improvement and Disparities using NHS England Hospital Episode Statistics (HES) and Office for National Statistics (ONS","Numerator: The number of finished emergency admissions (episode number equals 1, admission method starts with 2), with one or more codes for injuries and other adverse effects of external causes (ICD 10: S00 to T79 and or V01 to Y36) in any diagnostic field position, in children (aged 0 to 14 years). Admissions are only included if they have a valid Local Authority code. Regions are the sum of the Local Authorities. England is the sum of all Local Authorities and admissions coded as U (England NOS). Admissions that only include T80 to T98 or Y40 to Y98, quality of care issues, in any field are excluded.

Denominator:  ONS mid year population estimates, aged 0 to 14 years


Go to original source to view confidence intervals","https://fingertips.phe.org.uk/profile/child-health-profiles/data#page/3/gid/1938133228/pat/6/par/E12000007/ati/402/are/E09000003/iid/90284/age/26/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1",2,"Financial Year",NA
"345","Health and Wellbeing","Under 18 Hospital Admissions (Alcohol related)","Under 18 Hospital Admissions (Alcohol related) - rate","Hosp_Adm_Alc_<18yrs","Low","Rate per 100,000",NA,"None standard - manual process","Alcohol consumption is a contributing factor to hospital admissions and deaths from a diverse range of conditions. Alcohol misuse is estimated to cost the NHS about £3.5 billion per year and society as a whole £21 billion annually.

The Government has said that everyone has a role to play in reducing the harmful use of alcohol - this indicator is one of the key contributions by the Government (and the Department of Health) to promote measurable, evidence based prevention activities at a local level, and supports the national ambitions to reduce harm set out in the Government's Alcohol Strategy. This ambition is part of the monitoring arrangements for the Responsibility Deal Alcohol Network. Alcohol-related admissions can be reduced through local interventions to reduce alcohol misuse and harm.

Admissions to hospital for under 18s where the primary diagnosis or any of the secondary diagnoses are an alcohol-specific (wholly attributable) condition. Crude rate per 100,000 population.","45689","46054","NHS England (NHSE), Hospital Episode Statistics (HES)","Crude rate per 100,000 population: the number of persons under 18 admitted to hospital due to alcohol-specific conditions divided by the under 18 population of the area and multiplied by 100,000.

Numerator - The number of hospital admission episodes for under 18s where the primary diagnosis or any of the secondary diagnoses are an alcohol-specific (wholly attributable) condition code only

More specifically, hospital admissions records are identified where the admission is a finished episode [epistat = 3]; the admission is an ordinary admission, day case or maternity [classpat = 1, 2 or 5]; it is an admission episode [epiorder = 1]; the sex of the patient is valid [sex = 1 or 2]; there is a valid age at start of episode [startage between 0 and 150 or between 7001 and 7007]; the region of residence is one of the English regions, no fixed abode or unknown [resgor<= K or U or Y]; the episode end date [epiend] falls within the financial year, and a wholly alcohol-attributable ICD10 code appears in any diagnosis field [diag_nn].

Denominator - ONS mid-year population estimates for 0-17 year olds. Three years are pooled.


Go to original source to view confidence intervals","https://fingertips.phe.org.uk/profile/child-health-profiles/data#page/3/gid/1938133228/pat/6/par/E12000007/ati/402/are/E09000003/iid/92904/age/173/sex/4/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1/page-options/car-do-0",2,"Financial Year",NA
"338","Health and Wellbeing","Inpatient admission rate for mental health (0-17 year olds)","Inpatient admission rate for mental health disorders ( 0-17 yr olds)","CMH_0-17yrs","Low","Rate per 100,000",NA,"None standard - manual process","One in ten children aged 5-16 years has a clinically diagnosable mental health problem and, of adults with long-term mental health problems, half will have experienced their first symptoms before the age of 14. Self-harming and substance abuse are known to be much more common in children and young people with mental health disorders – with ten per cent of 15-16 year olds having self-harmed. Failure to treat mental health disorders in children can have a devastating impact on their future, resulting in reduced job and life expectations.

Inpatient admission rate for mental health disorders per 100,000 population aged 0-17 years.

Following Census 2021, the Office for National Statistics (ONS) carried out reconciliation and rebasing of the mid year population estimates (MYE) it produces. This process happens every 10 years following the census. The official population estimates for mid 2012 to mid 2020 have been revised, to incorporate the data now available from Census 2021. The data for this indicator has been revised to use the rebased population estimates from 2012 onwards.","45778","46143","Hospital Episode Statistics (HES)","Numerator : First finished episodes for all persons aged 0 to 17 years with primary diagnosis codes F00 to F99 (Mental and behavioural disorders). F00-F09 Organic, including symptomatic, mental disorders F10-F19 Mental and behavioural disorders due to psychoactive substance use F20-F29 Schizophrenia, schizotypal and delusional disorders F30-F39 Mood <affective> disorders F40-F48 Neurotic, stress-related and somatoform disorders F50-F59 Behavioural syndromes associated with physiological disturbances and physical factors F60-F69 Disorders of adult personality and behaviour F70-F79 Mental retardation F80-F89 Disorders of psychological development F90-F98 Behavioural and emotional disorders with onset usually occurring in childhood and adolescence F99-F99 Unspecified mental disorder.

Denominator: ONS 0-17 population


Go to original source to view confidence intervals","https://fingertips.phe.org.uk/profile/child-health-profiles/data#page/3/gid/1938133228/pat/6/par/E12000007/ati/402/are/E09000003/iid/90812/age/173/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1/page-options/car-do-0",2,"Financial Year",NA
